reconstruction_loss,quantization_name,beta,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,best/MSELoss,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,1.0,None,linear,1.0,0.004638134967535734,5.424635887145996,0.00042775439214892685,1.1183850801899098e-05,0.004446009639650583,5.405279636383057,0.00038482900708913803,1.0080932042910717e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,1.0,None,linear,1.0,0.00464117806404829,5.349952697753906,0.00021354586351662874,5.5448003877245355e-06,0.004461562726646662,5.319026947021484,0.00020568331819958985,5.37238156539388e-06
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,2.0,None,constant,1.0,0.004617930855602026,5.452284336090088,0.0008124858723022044,5.3749739890918136e-05,0.00437884870916605,5.436084270477295,0.0006448591593652964,4.485157478484325e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,2.0,None,constant,1.0,0.004657187033444643,5.445473670959473,0.0003460639272816479,2.4415188818238676e-05,0.004421102814376354,5.433344841003418,0.00033488942426629364,2.3258498913492076e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,2.0,None,constant,1.0,0.004699135199189186,5.429149627685547,0.00017425863188691437,1.2408468137437012e-05,0.004429277498275042,5.390462398529053,0.00016280986892525107,1.1583110790525097e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,2.0,None,cos,1.0,0.004493447951972485,5.438490390777588,0.0006721877725794911,4.835724757867865e-05,0.004378688521683216,5.444276809692383,0.0006729153683409095,4.632433410733938e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,2.0,None,cos,1.0,0.0045599862933158875,5.43337869644165,0.0003329919127281755,2.4139455490512773e-05,0.004398413468152285,5.435776710510254,0.00032011428265832365,2.2732261641067453e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,2.0,None,cos,1.0,0.004614475183188915,5.425976753234863,0.00016586466517765075,1.1941560842387844e-05,0.0043641142547130585,5.428881645202637,0.00017052954353857785,1.1813073797384277e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,2.0,None,linear,1.0,0.0048280698247253895,5.439640045166016,0.001547256950289011,7.121625822037458e-05,0.004424722399562597,5.444222927093506,0.0006695028278045356,4.612599150277674e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,2.0,None,linear,1.0,0.004570357035845518,5.441335678100586,0.00034688261803239584,2.439071613480337e-05,0.004396393429487944,5.443326473236084,0.0003160146879963577,2.2408272343454883e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,2.0,None,linear,1.0,0.004534194245934486,5.423544406890869,0.00017197002307511866,1.1978292604908347e-05,0.004455920308828354,5.400648593902588,0.00016488117398694158,1.1531082236615475e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,4.0,None,constant,1.0,0.0046185823157429695,5.454884052276611,0.0005336685571819544,0.0001076406697393395,0.004404775332659483,5.458631992340088,0.0005586326005868614,0.00010564391413936391
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,4.0,None,constant,1.0,0.004632475320249796,5.456622123718262,0.0002778410562314093,5.4668489610776305e-05,0.004504328593611717,5.445187568664551,0.00026042130775749683,5.038121889811009e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,4.0,None,constant,1.0,0.004536143038421869,5.457151412963867,0.0001389511744491756,2.6588601031107828e-05,0.004377342294901609,5.422990798950195,0.00014723464846611023,2.6298790544387884e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,4.0,None,cos,1.0,0.004640554543584585,5.452241897583008,0.0005853030015714467,0.00011028316657757387,0.004416985437273979,5.447551727294922,0.0006016258266754448,0.00010539461072767153
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,4.0,None,cos,1.0,0.004612392280250788,5.449527740478516,0.0003312066837679595,5.699298344552517e-05,0.004471572581678629,5.435359954833984,0.00026782750501297414,5.121180947753601e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,4.0,None,cos,1.0,0.00451055308803916,5.4430670738220215,0.00013279014092404395,2.5830431695794687e-05,0.004369006492197514,5.426388740539551,0.00012616148160304874,2.4457716790493578e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,4.0,None,linear,1.0,0.0045648664236068726,5.436283588409424,0.0005932905478402972,0.00010848390957107767,0.004430593457072973,5.442471027374268,0.0006180546479299664,0.00010646501323208213
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,4.0,None,linear,1.0,0.00469139264896512,5.460394859313965,0.00027989308000542223,5.4572683438891545e-05,0.004475552123039961,5.440501689910889,0.0002659497258719057,5.082937786937691e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,4.0,None,linear,1.0,0.004528125748038292,5.451274871826172,0.0001326457568211481,2.5992905648308806e-05,0.004431458190083504,5.447501182556152,0.00013991731975693256,2.596528793219477e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,8.0,None,constant,1.0,0.004658951424062252,5.479033946990967,0.000583337270654738,0.0002501386043149978,0.0045157428830862045,5.4606218338012695,0.0005942630814388394,0.00024113220570143312
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,8.0,None,constant,1.0,0.004565396811813116,5.475701808929443,0.0003355260705575347,0.00013191401376388967,0.004477318841964006,5.452723979949951,0.0002579916035756469,0.00011363896919647232
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,8.0,None,constant,1.0,0.004725400824099779,5.472031593322754,0.00017553026555106044,6.567280070157722e-05,0.004545116797089577,5.466628074645996,0.00015050933870952576,6.002067675581202e-05
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.25,2.0,256.0,8.0,None,cos,1.0,0.004588326904922724,5.463615894317627,0.0006923369946889579,0.0002623559266794473,0.004502978641539812,5.466250419616699,0.000727313628885895,0.000256629689829424
MSELoss,Lightning_GVQ_VAE_codebook_loss,0.5,2.0,256.0,8.0,None,cos,1.0,0.004668811336159706,5.463728904724121,0.00029361413908191025,0.00012597133172675967,0.004560618661344051,5.455513954162598,0.0003398710978217423,0.0001282548764720559
MSELoss,Lightning_GVQ_VAE_codebook_loss,1.0,2.0,256.0,8.0,None,cos,1.0,0.004621724132448435,5.467634201049805,0.00019943022925872356,6.924276385689154e-05,0.004497155547142029,5.478003025054932,0.00015317005454562604,6.246755219763145e-05
