reconstruction_loss,quantization_name,beta,encoder offset,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,codebook offset,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MSELoss,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MSELoss,best/codebook_entropy
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,3.0,0.004398009739816189,6.049551963806152,0.0005581917357631028,0.0,0.0,0.0,0.0,0.0,0.004361266735941172,6.055497169494629
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,4.0,0.00442075077444315,6.092833518981934,0.0004923308733850718,0.0,0.0,0.0,0.0,0.0,0.004362176638096571,6.098118782043457
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,4.0,0.004449933767318726,6.111572742462158,0.0004475454625207931,0.0,0.0,0.0,0.0,0.0,0.004317374899983406,6.087204456329346
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,4.0,0.004298067186027765,6.077649116516113,0.0004768793878611177,0.0,0.0,0.0,0.0,0.0,0.004211376886814833,6.088372707366943
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,5.0,0.004517685621976852,6.0972747802734375,0.0005831046146340668,0.0,0.0,0.0,0.0,0.0,0.004334250930696726,6.074281215667725
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,5.0,0.004368070978671312,6.078441619873047,0.0005321992794051766,0.0,0.0,0.0,0.0,0.0,0.004304190631955862,6.084379196166992
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,5.0,0.004323005210608244,6.068640232086182,0.0005620117299258709,0.0,0.0,0.0,0.0,0.0,0.004291236866265535,6.051301002502441
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,6.0,0.004386692773550749,6.094175338745117,0.00046486270730383694,0.0,0.0,0.0,0.0,0.0,0.004321379587054253,6.099489212036133
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,6.0,0.004293176811188459,6.065872669219971,0.0004914873279631138,0.0,0.0,0.0,0.0,0.0,0.004241190385073423,6.088330268859863
MSELoss,Lightning_VQ_VAE_ema,0.25,0.0,2.0,512.0,,,,1.0,6.0,0.004566715098917484,6.060632228851318,0.000567216076888144,0.0,0.0,0.0,0.0,0.0,0.0044405111111700535,6.0761823654174805
