reconstruction_loss,quantization_name,beta,in_features,codebook_size,decay,research_mode,val/MultiscaleSpectralLossL1,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MultiscaleSpectralLossL1,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MultiscaleSpectralLossL1,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,128.0,512.0,0.99,1.0,92292.3046875,5.091128826141357,2666.29638671875,0.0,81716.0703125,4.935022354125977,1691.1070556640625,0.0,82684.046875,4.9432878494262695,4037.56494140625,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,16.0,512.0,0.99,1.0,83966.2890625,4.595810890197754,5997.50537109375,0.0,75325.0859375,4.663288116455078,5984.22900390625,0.0,75672.5546875,4.684804439544678,16637.01171875,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,2.0,512.0,0.99,1.0,79194.5625,5.051552772521973,2151.51171875,0.0,78756.0859375,5.028530120849609,6730.99072265625,0.0,78788.4765625,5.0685529708862305,25705.0546875,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,32.0,512.0,0.99,1.0,81064.8046875,4.802146911621094,6698.24951171875,0.0,80745.1171875,4.707124710083008,3468.35693359375,0.0,80782.203125,4.69853401184082,5751.6669921875,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,4.0,512.0,0.99,1.0,81508.953125,4.555435657501221,7626.8642578125,0.0,73779.828125,4.897152900695801,10682.4833984375,0.0,74016.09375,4.895753860473633,15235.5263671875,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,64.0,512.0,0.99,1.0,84244.734375,4.512295722961426,13082.9013671875,0.0,75344.0078125,5.147259712219238,8031.953125,0.0,75399.7109375,5.136740684509277,15106.896484375,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_ema,0.25,8.0,512.0,0.99,1.0,71798.0078125,5.068075180053711,4501.068359375,0.0,71711.1328125,5.093153953552246,3505.614990234375,0.0,71798.0078125,5.068075180053711,4501.068359375,0.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,1.0,1024.0,,1.0,95427.0234375,5.847443580627441,31998.771484375,31998.771484375,89288.40625,5.867116928100586,3169.74072265625,3169.74072265625,89615.4765625,5.866328239440918,2376.9404296875,2376.9404296875
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,128.0,1024.0,,1.0,114423.375,1.7279094457626343,2249827.75,2249827.75,107253.09375,1.8200719356536865,6048839.5,6048839.5,108017.328125,1.8031153678894043,5788884.0,5788884.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,16.0,1024.0,,1.0,140527.484375,1.673095941543579,4821406.5,4821406.5,94103.6171875,1.8746871948242188,9990493.0,9990493.0,94755.21875,1.8654407262802124,10056451.0,10056451.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,2.0,1024.0,,1.0,125868.6796875,2.1324923038482666,1967512.75,1967512.75,92624.9921875,3.1586790084838867,2579047.0,2579047.0,92080.15625,3.188706398010254,2548317.5,2548317.5
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,32.0,1024.0,,1.0,175665.078125,1.6369781494140625,2246310.5,2246310.5,97117.9609375,2.112781524658203,3483059.5,3483059.5,98366.703125,2.09059739112854,3814851.25,3814851.25
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,4.0,1024.0,,1.0,158521.546875,0.7468921542167664,4242314.5,4242314.5,104383.7421875,1.5119887590408325,12404514.0,12404514.0,105324.6640625,1.5044862031936646,13917915.0,13917915.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,64.0,1024.0,,1.0,116283.2421875,1.3338268995285034,5721362.0,5721362.0,95719.3203125,2.189260959625244,6933360.5,6933360.5,96392.34375,2.155858278274536,8721266.0,8721266.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,8.0,1024.0,,1.0,124314.15625,1.4485654830932617,1484816.75,1484816.75,103114.4296875,1.7155802249908447,1248945.375,1248945.375,104001.5703125,1.7015678882598877,1429427.375,1429427.375
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,1.0,256.0,,1.0,123139.6796875,3.478116273880005,4929.50390625,4929.50390625,89411.8671875,5.153779029846191,62481.9296875,62481.9296875,89220.3515625,5.142827987670898,71866.8203125,71866.8203125
